"","Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"53234",366,5,0,"A_25_P00013436","hsa-miR-136-3p",-1.28120627835799,5.83953793524258,-5.468692011263,2.8732380961552e-05,0.00246596869618564,2.60807167208276
"6566",45,81,0,"A_25_P00010475","hsa-miR-100-5p",-3.11259065764924,8.61932840060907,-5.46472013167882,2.89821315573504e-05,0.00248360027675863,2.59974009819389
"20643",142,34,0,"A_25_P00015042","hsa-miR-1271-5p",-1.08661206026836,5.81028743601808,-5.46030214847809,2.92625443916948e-05,0.00250380158456205,2.59047064319801
"18064",124,81,0,"A_25_P00012002","hsa-miR-26b-5p",-2.85018045604728,9.57403601874815,-5.45666753906886,2.94953167174315e-05,0.00251987123492642,2.5828431315946
"25876",177,135,0,"A_25_P00012013","hsa-miR-29a-3p",-2.51547377455095,12.6213429502022,-5.45323759220156,2.97167195511121e-05,0.00253106965125004,2.57564374156843
"53825",370,8,0,"A_25_P00014164","hsa-miR-502-5p",-1.01484480037983,5.95743096858625,-5.45088088202316,2.98698300655779e-05,0.00253640114575038,2.57069627903091
"15516",107,17,0,"A_25_P00012508","hsa-miR-495",-1.0524661025209,5.87481184975344,-5.44956012527778,2.9955989576431e-05,0.00253986910714296,2.56792332700741
"55801",383,62,0,"A_25_P00013484","hsa-miR-29c-5p",-1.31617665716131,6.64796061519257,-5.444136819134,3.03124531833185e-05,0.00256233955687164,2.55653492703132
"39117",268,117,0,"A_25_P00010475","hsa-miR-100-5p",-3.06259453345777,8.71084468238856,-5.44337389204072,3.03629460107172e-05,0.00256274238889252,2.55493258926865
"31628",217,20,0,"A_25_P00013484","hsa-miR-29c-5p",-1.27906313810446,6.6129988730458,-5.43840580239132,3.06938608339646e-05,0.00257984788285874,2.54449674857138
"9581",66,26,0,"A_25_P00010130","hsa-miR-497-5p",-2.19785907114935,7.0023836910366,-5.43825882538088,3.07037066923627e-05,0.00257984788285874,2.5441879700006
